District ID ,District Name ,School ID,School Name,School Year,Total ,Prekindergarten ,KindergartenFull Day ,KindergartenExtended Day ,KindergartenHalf Day ,Totalk,Grade 1 ,Grade 2 ,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade10,Grade11,Grade12
288,Achievement First Hartford Academy Inc.,1,Achievement First Hartford Academy Inc.,2011-12,761,NA,90,NA,NA,90,89,86,88,75,98,92,75,68,NA,NA,NA,NA
279,Amistad Academy District,51,Amistad Academy,2011-12,857,NA,96,NA,NA,96,89,86,78,76,89,87,84,63,39,28,25,17
1,Andover School District,1,Andover Elementary School,2011-12,314,28,35,NA,NA,35,43,45,41,50,33,39,NA,NA,NA,NA,NA,NA
2,Ansonia School District,61,Ansonia High School,2011-12,695,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,188,157,174,176
2,Ansonia School District,51,Ansonia Middle School,2011-12,471,102,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,187,182,NA,NA,NA,NA
2,Ansonia School District,3,Mead School,2011-12,610,NA,NA,NA,80,80,95,88,89,83,93,82,NA,NA,NA,NA,NA,NA
2,Ansonia School District,8,Prendergast School,2011-12,738,NA,NA,NA,94,94,117,106,100,105,111,105,NA,NA,NA,NA,NA,NA
244,Area Cooperative Educational Services,51,Thomas Edison Magnet Middle School,2011-12,721,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,250,241,230,NA,NA,NA,NA
244,Area Cooperative Educational Services,3,Wintergreen Interdistrict  Magnet School,2011-12,640,NA,60,NA,NA,60,66,72,75,75,75,75,73,69,NA,NA,NA,NA
3,Ashford School District,1,Ashford School,2011-12,481,48,56,NA,NA,56,49,39,52,33,51,51,52,50,NA,NA,NA,NA
4,Avon School District,61,Avon High School,2011-12,1112,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,281,284,265,282
4,Avon School District,51,Avon Middle School,2011-12,572,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,288,284,NA,NA,NA,NA
4,Avon School District,4,Pine Grove School,2011-12,625,41,NA,NA,89,89,99,122,129,145,NA,NA,NA,NA,NA,NA,NA,NA
4,Avon School District,3,Roaring Brook School,2011-12,591,NA,NA,NA,77,77,110,135,133,136,NA,NA,NA,NA,NA,NA,NA,NA
4,Avon School District,5,Thompson Brook School,2011-12,595,NA,NA,NA,NA,0,NA,NA,NA,NA,286,309,NA,NA,NA,NA,NA,NA
5,Barkhamsted School District,1,Barkhamsted Elementary School,2011-12,338,NA,NA,NA,42,42,50,44,59,35,55,53,NA,NA,NA,NA,NA,NA
5,Barkhamsted School District,80,Shared Services Integrated Preschool,2011-12,19,19,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Berlin School District,61,Berlin High School,2011-12,976,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,211,234,263,268
7,Berlin School District,51,Catherine M. McGee Middle School,2011-12,730,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,235,237,258,NA,NA,NA,NA
7,Berlin School District,4,Emma Hart Willard School,2011-12,491,37,NA,NA,45,45,75,77,86,77,94,NA,NA,NA,NA,NA,NA,NA
7,Berlin School District,5,Mary E. Griswold School,2011-12,577,NA,NA,NA,80,80,106,96,108,91,96,NA,NA,NA,NA,NA,NA,NA
7,Berlin School District,1,Richard D. Hubbard School,2011-12,241,NA,NA,NA,28,28,49,33,43,41,47,NA,NA,NA,NA,NA,NA,NA
8,Bethany School District,1,Bethany Community School,2011-12,491,11,47,NA,NA,47,55,66,75,80,89,68,NA,NA,NA,NA,NA,NA
9,Bethel School District,4,Anna H. Rockwell School,2011-12,389,NA,101,NA,NA,101,88,89,111,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Bethel School District,61,Bethel High School,2011-12,949,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,234,242,241,232
9,Bethel School District,51,Bethel Middle School,2011-12,693,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,221,224,248,NA,NA,NA,NA
