Year,"CT County Subdivisions,Year",Town,"Kindergarteners with PreK Experience, Percent"
2009,"9,001,508,602,009",New Fairfield,91.48
2004,"9,013,720,902,004",Stafford,89.5
2006,"9,009,696,402,006",Southbury,93.5
2011,"9,011,234,002,011",East Lyme,92.4
2007,"9,015,360,002,007",Hampton,100
2004,"9,001,730,702,004",Stamford,73.8
2010,"9,011,570,402,010",Old Lyme,80.5
2011,"9,003,248,002,011",East Windsor,97.83
2007,"9,003,370,702,007",Hartford,67.5
2011,"9,015,218,602,011",Eastford,82.61
2007,"9,003,371,402,007",Hartland,81.8
2010,"9,007,573,202,010",Old Saybrook,92.4
2011,"9,001,238,902,011",Easton,96.3
2007,"9,005,372,802,007",Harwinton,89.9
2010,"9,009,576,002,010",Orange,92.6
2007,"9,013,379,102,007",Hebron,97.1
2011,"9,013,253,602,011",Ellington,75.88
2011,"9,003,259,902,011",Enfield,64.61
2007,"9,005,402,902,007",Kent,90.6
2010,"9,009,583,002,010",Oxford,94.4
2011,"9,007,262,702,011",Essex,96.43
2007,"9,015,405,002,007",Killingly,72.9
2011,"9,001,266,202,011",Fairfield,94.02
2007,"9,007,407,102,007",Killingworth,93.3
2010,"9,015,599,802,010",Plainfield,63.9
2011,"9,003,276,002,011",Farmington,86.4
2007,"9,011,423,902,007",Lebanon,87.8
2007,"9,011,426,002,007",Ledyard,78.5
2010,"9,003,601,202,010",Plainville,85.1
2011,"9,009,622,902,011",Prospect,98.4
2007,"9,011,432,302,007",Lisbon,91.9
2010,"9,003,870,002,010",Windsor,82.7
2007,"9,005,433,702,007",Litchfield,77.2
2011,"9,015,627,102,011",Putnam,48.42
2007,"9,011,442,102,007",Lyme,94
2011,"9,001,634,802,011",Redding,93.81
2010,"9,005,607,502,010",Plymouth,88.6
2007,"9,009,445,602,007",Madison,94.7
2010,"9,015,610,302,010",Pomfret,88.6
2011,"9,001,639,702,011",Ridgefield,84.94
2007,"9,003,447,002,007",Manchester,66.7
2007,"9,013,449,102,007",Mansfield,79.7
2011,"9,003,653,702,011",Rocky Hill,87.18
2010,"9,007,618,002,010",Portland,97.2
2007,"9,003,458,202,007",Marlborough,79.8
2011,"9,005,659,302,011",Roxbury,95.65
2007,"9,009,465,202,007",Meriden,81.6
2010,"9,011,621,502,010",Preston,31.4
2007,"9,009,469,402,007",Middlebury,92.7
2011,"9,003,312,402,011",Glastonbury,92.35
2007,"9,007,470,802,007",Middlefield,93.4
2011,"9,005,322,902,011",Goshen,95.16
2007,"9,007,473,602,007",Middletown,83
2011,"9,003,326,402,011",Granby,93.64
2007,"9,009,475,352,007",Milford,82
2011,"9,001,336,202,011",Greenwich,92.66
2010,"9,009,622,902,010",Prospect,92
2007,"9,001,486,202,007",Monroe,91.4
2011,"9,011,339,002,011",Griswold,90.24
2007,"9,011,489,002,007",Montville,74.9
2011,"9,011,342,502,011",Groton,78.78
2007,"9,005,494,602,007",Morris,87.1
2010,"9,015,627,102,010",Putnam,71.3
2011,"9,009,349,502,011",Guilford,88.3
2007,"9,009,499,502,007",Naugatuck,77.1
2011,"9,007,352,302,011",Haddam,90.05
2007,"9,003,504,402,007",New Britain,63.8
2011,"9,009,356,502,011",Hamden,83.37
2010,"9,001,634,802,010",Redding,95.6
2007,"9,001,505,802,007",New Canaan,99.3
2011,"9,015,360,002,011",Hampton,100
2007,"9,001,508,602,007",New Fairfield,90.1
2011,"9,003,370,702,011",Hartford,74.05
2007,"9,005,513,502,007",New Hartford,88.5
2011,"9,003,371,402,011",Hartland,77.27
2010,"9,001,639,702,010",Ridgefield,92.2
2007,"9,009,520,702,007",New Haven,65.2
2010,"9,003,653,702,010",Rocky Hill,89.1
2011,"9,005,372,802,011",Harwinton,89.53
2007,"9,011,523,502,007",New London,59
2011,"9,013,379,102,011",Hebron,93.75
2007,"9,005,526,302,007",New Milford,76.2
2011,"9,005,402,902,011",Kent,87.88
2010,"9,005,659,302,010",Roxbury,95.8
2007,"9,003,521,402,007",Newington,81.3
2003,"9,009,195,502,003",Derby,60.4
2005,"9,013,720,902,005",Stafford,73.3
2009,"9,005,513,502,009",New Hartford,96.43
2008,"9,011,159,102,008",Colchester,83.1
2005,"9,005,879,102,005",Woodbury,89.8
2008,"9,003,689,402,008",Simsbury,93.1
2007,"9,001,529,802,007",Newtown,88.1
2010,"9,011,299,102,010",Franklin,94.1
2003,"9,007,208,102,003",Durham,62.8
2005,"9,001,730,702,005",Stamford,80.3
2009,"9,009,520,702,009",New Haven,71.5
2010,"9,011,662,102,010",Salem,83.3
2008,"9,005,160,502,008",Colebrook,85.7
2005,"9,015,881,902,005",Woodstock,68.5
2008,"9,013,692,202,008",Somers,96
2007,"9,005,534,702,007",Norfolk,88.9
2010,"9,003,312,402,010",Glastonbury,92.1
2003,"9,003,220,702,003",East Granby,89.7
2005,"9,015,734,202,005",Sterling,92.7
2009,"9,011,523,502,009",New London,65.29
2008,"9,013,164,002,008",Columbia,85.5
2006,"9,013,010,802,006",Andover,88.2
2008,"9,003,713,902,008",South Windsor,75.8
