District ID,District Name,School ID,School Name,School Year,Percentage of Kindergarteners with PreK Experience,Number of K students
288,Achievement First Hartford Academy Inc.,1,Achievement First Hartford Academy Inc.,2010-11,95.5,88
279,Amistad Academy District,51,Amistad Academy,2010-11,82.2,90
1,Andover School District,1,Andover Elementary School,2010-11,92.9,42
2,Ansonia School District,3,Mead School,2010-11,100,36
2,Ansonia School District,8,Prendergast School,2010-11,76.2,168
244,Area Cooperative Educational Services,3,Wintergreen Interdistrict Magnet School,2010-11,84.1,63
3,Ashford School District,1,Ashford School,2010-11,95.8,48
4,Avon School District,4,Pine Grove School,2010-11,91.6,83
4,Avon School District,3,Roaring Brook School,2010-11,75.9,108
5,Barkhamsted School District,1,Barkhamsted Elementary School,2010-11,77.6,49
7,Berlin School District,4,Emma Hart Willard School,2010-11,100,71
7,Berlin School District,5,Mary E. Griswold School,2010-11,91.6,95
7,Berlin School District,1,Richard D. Hubbard School,2010-11,88.4,43
8,Bethany School District,1,Bethany Community School,2010-11,88.7,53
9,Bethel School District,4,Anna H. Rockwell School,2010-11,73.5,83
9,Bethel School District,1,Frank A. Berry School,2010-11,80,80
11,Bloomfield School District,3,J. P. Vincent School,2010-11,87.2,94
11,Bloomfield School District,8,Wintonbury Early Childhood Magnet School,2010-11,100,103
12,Bolton School District,1,Bolton Center School,2010-11,91.5,59
13,Bozrah School District,1,Fields Memorial School,2010-11,77.4,31
14,Branford School District,16,John B. Sliney School,2010-11,83.8,80
14,Branford School District,15,Mary R. Tisko School,2010-11,96.2,78
14,Branford School District,14,Mary T. Murphy School,2010-11,82.7,75
15,Bridgeport School District,1,Barnum School,2010-11,100,88
15,Bridgeport School District,2,Beardsley School,2010-11,82.4,51
15,Bridgeport School District,3,Black Rock School,2010-11,52.6,57
15,Bridgeport School District,40,Blackham School,2010-11,81.5,119
15,Bridgeport School District,4,Bryant School,2010-11,44.8,67
15,Bridgeport School District,14,Cesar Batalla School,2010-11,53.5,114
15,Bridgeport School District,21,Classical Studies Academy,2010-11,44.4,45
15,Bridgeport School District,5,Columbus School,2010-11,48.4,93
15,Bridgeport School District,39,Cross School,2010-11,85.2,54
15,Bridgeport School District,42,Curiale School,2010-11,50,64
15,Bridgeport School District,37,Discovery Interdistrict Magnet School,2010-11,93.3,45
15,Bridgeport School District,41,Dunbar School,2010-11,59,39
15,Bridgeport School District,7,Edison School,2010-11,72.1,43
15,Bridgeport School District,32,Geraldine Johnson School,2010-11,60,115
15,Bridgeport School District,11,Hall School,2010-11,46.7,45
15,Bridgeport School District,12,Hallen School,2010-11,41,39
15,Bridgeport School District,45,High Horizons Magnet School,2010-11,91.1,45
15,Bridgeport School District,13,Hooker School,2010-11,50,46
15,Bridgeport School District,22,Jettie S. Tisdale School,2010-11,22.9,70
15,Bridgeport School District,19,Longfellow School,2010-11,89.7,58
15,Bridgeport School District,10,Luis Munoz Marin School,2010-11,57.3,75
15,Bridgeport School District,20,Madison School,2010-11,71.9,89
15,Bridgeport School District,46,Multicultural Magnet School,2010-11,86.7,45
15,Bridgeport School District,17,Park City Magnet School,2010-11,76.3,59
15,Bridgeport School District,25,Read School,2010-11,21.6,102
15,Bridgeport School District,26,Roosevelt School,2010-11,83.9,56
15,Bridgeport School District,44,Skane Center,2010-11,97,33
15,Bridgeport School District,30,Waltersville School,2010-11,46.2,52
15,Bridgeport School District,36,Winthrop School,2010-11,81.6,76
17,Bristol School District,7,Clara T. O Connell School,2010-11,97.1,68
17,Bristol School District,3,Edgewood School,2010-11,71.4,77
